,id,title,thumbnail.alt_text,date_start,date_end,date_display,artist_display,place_of_origin,dimensions,medium_display,credit_line,department_title,artist_title,classification_title
14,45259,Nude with Cats,A work made of oil on cardboard.,1901.0,1901.0,1901,"Pablo Picasso
Spanish, active France, 1881-1973",Spain,17 7/16 × 16 1/16 in. (44.3 × 40.8 cm),Oil on cardboard,Amy McCormick Memorial Collection,Modern Art,Pablo Picasso,painting
15,45862,Farallon Granate (Garnet Rock Ridge),A work made of wool and horsehair; wrapped.,1973.0,1973.0,1973,"Olga de Amaral (Colombian, born 1932)
Colombia, Bogotá",Colombia,172.7 x 78.7 x 114 cm (68 x 31 x 45 in.),Wool and horsehair; wrapped,Gift of Mr. and Mrs. Solomon B. Smith,Textiles,Olga de Amaral,textile
16,47094,"Newsies at Skeeter Branch, St. Louis, Missouri, 11:00 a.m.",A work made of gelatin silver print.,1910.0,1910.0,"May 9, 1910","Lewis Wickes Hine
American, 1874–1940",United States,Image: 8.9 × 11.5 cm; paper: 12.6 × 17.8 cm (5 × 7 in.),Gelatin silver print,Purchased with funds provided by Charles and Ruth Levy Foundation,Photography and Media,Lewis Wickes Hine,gelatin silver (developing-out-paper) pr
17,51577,The White Tablecloth,A work made of oil on canvas.,1731.0,1732.0,1731/32,"Jean Baptiste Siméon Chardin
French, 1699–1779",France,96.8 × 123.5 cm (38 1/8 × 48 5/16 in.),Oil on canvas,Mr. and Mrs. Lewis Larned Coburn Memorial Collection,Painting and Sculpture of Europe,Jean Baptiste Siméon Chardin,oil on canvas
18,53010,Roadsters Old and Young,A work made of oil on canvas.,1956.0,1956.0,1956,"Jack Butler Yeats
Irish, 1871-1957",Ireland,45.4 × 61 cm (17 7/8 × 24 in.),Oil on canvas,Bequest of Maxine Kunstadter,Modern Art,Jack Butler Yeats,painting
19,54344,Back,A work made of gelatin silver print.,1924.0,1934.0,c. 1929,"Imogen Cunningham
American, 1883–1976",United States,14 × 20.9 cm (paper); 22.2 × 25.2 cm (mount),Gelatin silver print,"Julien Levy Collection, Gift of Jean and Julien Levy",Photography and Media,Imogen Cunningham,gelatin silver (developing-out-paper) pr
20,54347,Snake,A work made of gelatin silver print.,1929.0,1929.0,1929,"Imogen Cunningham
American, 1883–1976",United States,19.7 × 16.5 cm; 31 × 23 cm (mount),Gelatin silver print,"Julien Levy Collection, Gift of Jean and Julien Levy",Photography and Media,Imogen Cunningham,gelatin silver (developing-out-paper) pr
21,62158,"The Lie, plate one from Intimacies",A work made of woodcut in black on cream wove paper.,1897.0,1897.0,1897,"Félix Edouard Vallotton (French, born Switzerland, 1865-1925)
published by La Revue blanche (French, 19th-20th century)",France,180 × 225 mm (image); 247 × 325 mm (sheet),Woodcut in black on cream wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Félix Edouard Vallotton,woodcut
22,62159,"The Triumph, plate two from Intimacies",A work made of woodcut in black on cream wove paper.,1898.0,1898.0,1898,"Félix Edouard Vallotton (French, born Switzerland, 1865-1925)
published by La Revue blanche (French, 19th-20th century)",France,178 × 225 mm (image); 250 × 325 mm (sheet),Woodcut in black on cream wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Félix Edouard Vallotton,woodcut
23,62160,"The Fine Pin, plate three from Intimacies",A work made of woodcut in black on cream wove paper.,1898.0,1898.0,1898,"Félix Edouard Vallotton (French, born Switzerland, 1865-1925)
published by La Revue blanche (French, 19th-20th century)",France,204 × 250 mm (image); 250 × 324 mm (sheet),Woodcut in black on cream wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Félix Edouard Vallotton,woodcut
24,62162,"Money, plate five from Intimacies",A work made of woodcut in black on cream wove paper.,1898.0,1898.0,1898,"Félix Edouard Vallotton (French, born Switzerland, 1865-1925)
published by La Revue blanche (French, 19th-20th century)",France,180 × 225 mm (image); 251 × 323 mm (sheet),Woodcut in black on cream wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Félix Edouard Vallotton,woodcut
25,62163,"Extreme Measure, plate six from Intimacies",A work made of woodcut in black on cream wove paper.,1898.0,1898.0,1898,"Félix Edouard Vallotton (French, born Switzerland, 1865-1925)
published by La Revue blanche (French, 19th-20th century)",France,178 × 224 mm (image); 254 × 325 mm (sheet),Woodcut in black on cream wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Félix Edouard Vallotton,woodcut
26,62164,"Five O'Clock, plate seven from Intimacies",A work made of woodcut in black on cream wove paper.,1898.0,1898.0,1898,"Félix Edouard Vallotton (French, born Switzerland, 1865-1925)
published by La Revue blanche (French, 19th-20th century)",France,177 × 223 mm (image); 252 × 251 mm (sheet),Woodcut in black on cream wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Félix Edouard Vallotton,woodcut
27,62165,"Getting Ready for a Visit, plate eight from Intimacies",A work made of woodcut in black on cream wove paper.,1898.0,1898.0,1898,"Félix Edouard Vallotton (French, born Switzerland, 1865-1925)
published by La Revue blanche (French, 19th-20th century)",France,177 × 224 mm (image); 251 × 325 mm (sheet),Woodcut in black on cream wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Félix Edouard Vallotton,woodcut
28,62166,"The Other's Health, plate nine from Intimacies",A work made of woodcut in black on cream wove paper.,1898.0,1898.0,1898,"Félix Edouard Vallotton (French, born Switzerland, 1865-1925)
published by La Revue blanche (French, 19th-20th century)",France,178 × 224 mm (image); 251 × 324 mm (sheet),Woodcut in black on cream wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Félix Edouard Vallotton,woodcut
29,62167,"The Irreparable, plate ten from Intimacies",A work made of woodcut in black on cream wove paper.,1898.0,1898.0,1898,"Félix Edouard Vallotton (French, born Switzerland, 1865-1925)
published by La Revue blanche (French, 19th-20th century)",France,178 × 223 mm (image); 251 × 324 mm (sheet),Woodcut in black on cream wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Félix Edouard Vallotton,woodcut
30,62168,"Cancellation sheet, fragments of ten woodblocks from Intimacies",A work made of woodcut (ten separate blocks) in black on cream wove paper.,1898.0,1898.0,1898,"Félix Edouard Vallotton (French, born Switzerland, 1865-1925)
published by La Revue blanche (French, 19th-20th century)",France,188 × 228 mm (image); 248 × 325 mm (sheet),Woodcut (ten separate blocks) in black on cream wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Félix Edouard Vallotton,woodcut
31,66207,End of the Season,A work made of oil on canvas.,1945.0,1945.0,1945,"Jack Butler Yeats
Irish, 1871-1957",Ireland,24 × 36 in. (61 × 91.4 cm),Oil on canvas,Bequest of Solomon B. Smith,Modern Art,Jack Butler Yeats,painting
32,68395,Table at a Café,A work made of oil on canvas.,1912.0,1912.0,1912,"Juan Gris
Spanish, 1887–1927",Spain,18 × 14 7/8 in. (45.7 × 37.8 cm),Oil on canvas,Bequest of Kate L. Brewster,Modern Art,Juan Gris,painting
33,68823,Woodman (Waldarbeiter),"The top half of a light-skinned man in overalls is attached laterally to a tree trunk, his legs and partial torso attached in the same way father up on the trunk. He holds one of his large ears and closes one eye.",1969.0,1969.0,1969,"Georg Baselitz (Hans-Georg Kern)
German, born 1938",Germany,"254.6 × 204.5 cm (100 1/4 × 80 1/2 in.), framed",Charcoal and synthetic resin on linen,Purchased with funds provided by Mrs. Frederic G. Pick;  Walter Aitken Fund,Contemporary Art,Georg Baselitz,painting
34,72177,Heart of Darkness,"A work made of oil on canvas, three joined panels.",1982.0,1982.0,1982,"Sean Scully
American, born Ireland, 1945",United States,243.84 × 365.76 cm (96 × 144 in.),"Oil on canvas, three joined panels",Gift of Society for Contemporary Art,Contemporary Art,Sean Scully,painting
35,73987,"Anti-Slavery Picnic at Weymouth Landing, Massachusetts","Watercolor painting of a picnic in rolling fields surrounded by trees. Small figures of men, women, children, horses, and dogs are collaged into the scene. A few dozen people, mostly white, crowd around two long, white picnic tables. The few African American people depicted congregate with themselves.",1840.0,1850.0,c. 1845,"Susan Torrey Merritt
American, 1826-1879",United States,660 × 920 mm,"Watercolor and opaque watercolor, with pen and black ink, graphite, and collage of painted and metallic papers, on tan wove paper",Gift of Elizabeth R. Vaughan,Prints and Drawings,Susan Torrey Merritt,watercolor
36,76195,Pair of Candelabra,A work made of silver.,1920.0,1921.0,1920/21,"Design attributed to Peter Berg
American, born Norway, 1885–1959
Chased by Yngve Harald Olsson
American, born Denmark, 1896–1970
Kalo Shop
American, 1900–70
Chicago",United States,38.1 × 25.4 × 27.94 cm (15 3/4 × 10 7/8 × 11 in.),Silver,"Wesley M. Dixon, Jr. Endowment Fund",Arts of the Americas,Kalo Shop (Firm),candleholder
37,76452,Cocktail Shaker,A work made of silver.,1931.0,1931.0,1931,"Peer Smed
American, born Denmark, 1878–1943
New York",New York,39.3 × 15.9 × 15.9 cm (15 × 6 1/4 × 6 1/4 in.); 1906.5 g,Silver,"Purchased with funds provided by Quinn E. Delaney; Wesley M. Dixon, Jr. Endowment Fund",Arts of the Americas,Peer Smed,vessel
38,79600,The Railway Crossing (Sketch),"Colorful bars and other shapes form a dense and chaotic network. At left of center is a black rectangle bordered in purple and yellow with a red arrow inside it. At far left is a partially visible yellow bullseye with white, blue, and red bands.",1919.0,1919.0,1919,"Fernand Léger
French, 1881–1955",France,21 5/16 × 25 7/8 in. (54.1 × 65.7 cm),Oil on canvas,Joseph Winterbotham Collection; gift of Mrs. Patrick Hill in memory of Rue Winterbotham Carpenter,Modern Art,Fernand Léger,oil on canvas
39,84076,Café Singer,A work made of oil on canvas.,1879.0,1879.0,1879,"Edgar Degas
French, 1834–1917",France,21 1/16 × 16 7/16 in. (53.5 × 41.8 cm),Oil on canvas,Bequest of Clara Margaret Lynch in memory of John A. Lynch,Painting and Sculpture of Europe,Hilaire Germain Edgar Degas,painting
40,86385,City Landscape,"Abstract painting composed of a central tangle of vibrant colors—purple, pink, orange, green, red—on a mostly gray background, subtly divided into rectangular areas.",1955.0,1955.0,1955,"Joan Mitchell
American, 1925-1992",United States,"203.2 × 203.2 cm (80 × 80 in.), unframed",Oil on linen,Gift of Society for Contemporary American Art,Contemporary Art,Joan Mitchell,painting
41,87467,Édouard Manet,"Portrait of a straight-faced, light-skinned man with a bushy, light-brown beard and rosy cheeks wearing a dark vest, jacket, and shiny top hat. He grasps a thin cane, held horizontally, with both hands.",1867.0,1867.0,1867,"Henri Fantin-Latour
French, 1836-1904",France,46 1/4 × 35 7/16 in. (117.5 × 90 cm),Oil on canvas,Stickney Fund,Painting and Sculpture of Europe,Henri Fantin-Latour,oil on canvas
42,90300,Perilous Night,"Purple, black, blue inked drawing of shapes, human arm, music sheet.",1982.0,1982.0,1982,"Jasper Johns
American, born 1930",United States,"853 × 1,098 mm",Higgins ink on frosted mylar,Through prior gift of Mary and Leigh Block; Harold L. Stuart Endowment,Prints and Drawings,Jasper Johns,pen and ink drawings
43,92163,Banana Plant,A work made of gelatin silver print.,1925.0,1929.0,1925/29,"Imogen Cunningham
American, 1883–1976",United States,29.5 × 22.2 cm (image); 35.5 × 27.8 cm (paper),Gelatin silver print,"Julien Levy Collection, Gift of Jean Levy and the Estate of Julien Levy",Photography and Media,Imogen Cunningham,gelatin silver (developing-out-paper) pr
44,92164,Billbergia,A work made of gelatin silver print.,1924.0,1934.0,c. 1929,"Imogen Cunningham
American, 1883–1976",United States,30.8 × 20.5 cm (image); 35.3 × 27.8 cm (paper),Gelatin silver print,"Julien Levy Collection, Gift of Jean Levy and the Estate of Julien Levy",Photography and Media,Imogen Cunningham,gelatin silver (developing-out-paper) pr
45,92166,Two Callas,A work made of gelatin silver print.,1925.0,1929.0,1925/29,"Imogen Cunningham
American, 1883–1976",United States,30 × 22.6 cm (image); 35.5 × 27.8 cm (paper),Gelatin silver print,"Julien Levy Collection, Gift of Jean Levy and the Estate of Julien Levy",Photography and Media,Imogen Cunningham,gelatin silver (developing-out-paper) pr
46,93800,Wherefore Now Ariseth the Illusion of a Third Dimension,A work made of oil on canvas.,1931.0,1931.0,1931,"Ivan Albright
American, 1897–1983",United States,50.8 × 91.4 cm (20 × 36 in.),Oil on canvas,Gift of Ivan Albright,Arts of the Americas,Ivan Albright,painting
47,94241,"The Red Room, Etretat",A work made of oil on artist's board.,1899.0,1899.0,1899,"Félix Edouard Vallotton
French (born Switzerland),1865-1925",France,49.2 × 51.3 cm (19 3/8 × 20 3/8 in.),Oil on artist's board,Bequest of Mrs. Clive Runnells,Painting and Sculpture of Europe,Félix Edouard Vallotton,painting
48,95183,Beggar with a Duffle Coat (Philosopher),A work made of oil on canvas.,1860.0,1870.0,1865/67,"Édouard Manet
French, 1832-1883",France,187.7 × 109.9 cm (73 7/8 × 43 1/4 in.),Oil on canvas,A. A. Munger Collection,Painting and Sculpture of Europe,Édouard Manet,painting
49,98604,Coat Hanger I,A work made of lithograph from one stone in black on ivory wove paper.,1960.0,1960.0,1960,"Jasper Johns (American, born 1930)
published by Universal Limited Art Editions (American, founded 1955)
printed by Robert Blackburn",United States,655 × 535 mm (image); 915 × 680 mm (sheet),Lithograph from one stone in black on ivory wove paper,U.L.A.E. Collection acquired through a challenge grant of Mr. and Mrs. Thomas Dittmer; purchased with funds provided by supporters of the Department of Prints and Drawings; Centennial Endowment; Margaret Fisher Endowment Fund,Prints and Drawings,Jasper Johns,lithograph
50,98614,Target,A work made of lithograph from one stone in black on ivory wove paper.,1960.0,1960.0,1960,"Jasper Johns (American, born 1930)
printed by Robert Blackburn (American, 1920-2003)
published by Universal Limited Art Editions (American, founded 1955)",United States,305 × 305 mm (image); 574 × 448 mm (sheet),Lithograph from one stone in black on ivory wove paper,U.L.A.E. Collection acquired through a challenge grant of Mr. and Mrs. Thomas Dittmer; purchased with funds provided by supporters of the Department of Prints and Drawings; Centennial Endowment; Margaret Fisher Endowment Fund,Prints and Drawings,Jasper Johns,lithograph
51,102115,"Candelabrum entitled ""Morning""",A work made of silver.,1904.0,1904.0,1904,"Designed by Edwin E. Codman
American, 1876–1955
Gorham Manufacturing Company
American, founded 1831
Providence, Rhode Island",Providence,34.9 × 35.6 × 12.4 cm (13 3/4 × 14 × 4 7/8 in.),Silver,Purchased with funds provided by Mrs. Frank L. Sulzberger,Arts of the Americas,Edwin E. Codman,candleholder
52,103448,After Franz Marc: 1-6,"Six colorful prints, each featuring stylized groupings of animals, including a cat, horses, sheep, and deer.",1982.0,1982.0,1982,"Sherrie Levine
American, born 1947",United States,1: 483 × 749 mm; 2: 406 × 502 mm; 3: 451 × 546 mm; 4: 597 × 794 mm; 5: 540 × 705 mm; 6: 635 × 635 mm,Six off-set lithographs,Gift of Mr. and Mrs. Stanley M. Freehling,Prints and Drawings,Sherrie Levine,painting
53,104031,"The Shelton with Sunspots, N.Y.","Painting of a dark gray skyscraper in the glaring sun. The bright sun reflects off of the tall, looming building, which is painted from the perspective of a passerby looking up at the building. The light blurs out the top of the building, and dots of yellow light appear lower down and on nearby buildings.",1926.0,1926.0,1926,"Georgia O'Keeffe
American, 1887–1986",United States,123.2 × 76.8 cm (48 1/2 × 30 1/4 in.),Oil on canvas,Gift of Leigh B. Block,Arts of the Americas,Georgia O'Keeffe,oil on canvas
54,104306,Beggar with Crutch,A work made of pen and brown ink and colored crayons on tan wove paper.,1904.0,1904.0,1904,"Pablo Picasso
Spanish, 1881-1973",Spain,368 × 237 mm,Pen and brown ink and colored crayons on tan wove paper,Bequest of Mrs. Gordon Palmer,Prints and Drawings,Pablo Picasso,pen and ink drawings
55,104354,Bonbonnière,A work made of silver and cloisonné enamel.,1938.0,1938.0,1938,"Margret Craver
American, 1907–2010
Wichita, Kansas",Wichita,5.7 × 13.4 × 13.4 cm (2 3/4 × 5 1/4 × 5 1/4 in.); 540.2 g,Silver and cloisonné enamel,Americana Endowment Fund,Arts of the Americas,Margret Craver,container
56,110761,Venetian Glass Workers,A work made of oil on canvas.,1880.0,1882.0,1880/82,"John Singer Sargent
American, 1856–1925",Venice,56.5 × 84.5 cm (22 1/4 × 33 1/4 in.),Oil on canvas,Mr. and Mrs. Martin A. Ryerson Collection,Arts of the Americas,John Singer Sargent,painting
57,179295,Fragment (From a Curtain),A work made of linen and wool plain weave with supplementary brocading wefts.,1951.0,1952.0,1951/52,"Designed by Marianne Richter (Swedish, 1916-2010) 
Woven at Märta Måås-Fjetterström Atelier
Båstad, Sweden",Sweden,178.4 × 144.5 cm (70 1/4 × 56 7/8 in.),Linen and wool plain weave with supplementary brocading wefts,Gift of Helena Hernmarck,Textiles,Marianne Richter,weaving
58,111617,Cabin in the Cotton,"Painting of a cabin set below a dark blue sky and fluffy white clouds. Behind it is a field of many small white dots. In front, a dark-skinned woman sits and a dark-skinned child plays among roaming chickens and dogs in a fenced-in yard.",1931.0,1937.0,c. 1931–1937,"Horace Pippin
American, 1888–1946",United States,51 × 85 cm (20 × 33 1/2 in.),Oil on cotton mounted on Masonite,Purchased with funds provided by Thomas F. Pick and Mary P. Hines in memory of their mother Frances W. Pick,Arts of the Americas,Horace Pippin,oil on panel
59,116199,Composite Field Armor,,1560.0,1600.0,1570/80,"Italian, Milanese",Italy,H. 182.9 cm (72 in.),"Steel, brass, and leather",George F. Harding Collection,Applied Arts of Europe,,suit
60,116448,Gauntlet for the Right Hand,A work made of steel.,1560.0,1600.0,c. 1570/90,French,France,L. 31.8 cm (12 1/2 in.),Steel,George F. Harding Collection,Applied Arts of Europe,,suit-gauntlet
61,116525,Wheellock Rifle,"A work made of iron, silver, fruitwood, staghorn, and mother-of-pearl.",1600.0,1650.0,first half of 17th century,Silesia (present day Poland),Germany,"L. 89.5 cm (35 1/4 in.)
Barrel L. 64.8 cm (25 1/2 in.)
Caliber .57
Wt. 5 lb.","Iron, silver, fruitwood, staghorn, and mother-of-pearl",George F. Harding Collection,Applied Arts of Europe,,firearm-long gun
62,116873,Sporting or Target Crossbow for a Youth,"A work made of steel, fruitwood, staghorn, and cord.",1570.0,1630.0,late 16th century/early 17th century,German or Swiss,Germany,10.8 × 57.8 × 54.6 cm (4 1/4 × 22 3/4 × 21 1/2 in.),"Steel, fruitwood, staghorn, and cord",George F. Harding Collection,Applied Arts of Europe,,crossbow
63,117059,Mace,A work made of iron and gilding.,1550.0,1550.0,1550,German,Germany,"L. 60 cm (23 5/8 in.)
Wt. 2 lb. 6 oz.",Iron and gilding,George F. Harding Collection,Applied Arts of Europe,,shafted weapon
64,118981,Corpse and Mirror II,"A work made of oil and sand on four joined canvases, with artist's painted frame.",1974.0,1974.0,1974/75,"Jasper Johns
American, born 1930",United States,"146.4 × 191.1 cm (57 5/8 × 75 1/4 in.), including frame","Oil and sand on four joined canvases, with artist's painted frame",Lent by the artist,Contemporary Art,Jasper Johns,oil on canvas
65,121977,"The Cogent Reason, plate four from Intimacies",A work made of woodcut in black on cream wove paper.,1898.0,1898.0,1898,"Félix Edouard Vallotton (French, born Switzerland, 1865-1925)
published by La Revue blanche (French, 19th-20th century)",France,178 × 223 mm (image); 250 × 324 mm (sheet),Woodcut in black on cream wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Félix Edouard Vallotton,woodcut
66,133641,Three Angels,"A work made of linen, wool, gilt-metal-strip-wrapped cotton, silk, cotton, metal-foil-laminated in cellulose acetate film-wrapped rayon, and rayon-and-nylon, tapestry weave.",1954.0,1954.0,1954,"Lenore Tawney (American, 1907–2007)",Penland,67 × 63.5 cm (26 3/8 × 25 in.),"Linen, wool, gilt-metal-strip-wrapped cotton, silk, cotton, metal-foil-laminated in cellulose acetate film-wrapped rayon, and rayon-and-nylon, tapestry weave",Gift of Lenore Tawney,Textiles,Lenore Tawney,weaving
67,149776,The Freedman,"Black bronze statue of African American man, shackles broken, sitting on tree stump.",1863.0,1863.0,1862–63,"John Quincy Adams Ward
American, 1830–1910",United States,49.9 × 40 × 23.9 cm (19 5/8 × 15 3/4 × 9 3/8 in.),Bronze,Roger McCormick Endowment,Arts of the Americas,John Quincy Adams Ward,sculpture
68,153799,Woman Bathing Her Feet in a Brook,"Small dots of soft color form a woman in a red shirt and brown skirt seen up close, washing her bare feet in a lush brook while seated on a sloping bank.",1894.0,1895.0,1894/95,"Camille Pissarro
French, 1830-1903",France,73 × 92 cm (28 1/2 × 36 in.),Oil on canvas,A Millennium Gift of Sara Lee Corporation,Painting and Sculpture of Europe,Camille Pissarro,oil on canvas
69,156017,St. Louis,A work made of gelatin silver print.,1947.0,1947.0,1947,"Robert Frank
American, born Switzerland, 1924–2019",United States,33.1 × 26.5 cm (image/paper),Gelatin silver print,Gift of Robert Frank,Photography and Media,Robert Frank,gelatin silver (developing-out-paper) pr
70,156596,Fruit Piece,A work made of oil on canvas.,1860.0,1860.0,1860,"Hannah Brown Skeele
American, 1829–1901",Saint Louis,50.8 × 60.6 cm (20 × 23 7/8 in.),Oil on canvas,"Purchased with funds provided by Charles C. Haffner, III, Mrs. Harold T. Martin, Mrs. Herbert A Vance, and Jill Burnside Zeno; through prior acquisition of the George F. Harding Collection",Arts of the Americas,Hannah Brown Skeele,painting
71,156704,Polapan,A work made of internal dye diffusion transfer print.,1970.0,1970.0,1970,"Kenneth Josephson
American, born 1932",United States,30.6 × 43.4 cm,Internal dye diffusion transfer print,Gift of Ralph and Nancy Segall,Photography and Media,Kenneth Josephson,photograph
72,159814,The White Race,A work made of oil on canvas.,1937.0,1937.0,1937,"René Magritte
Belgian, 1898–1967",Belgium,81 × 60 cm (31 7/8 × 23 5/8 in.),Oil on canvas,Gift of The Leonard and Ruth Horwich Family Foundation,Modern Art,René Magritte,oil on canvas
73,180581,A Mansion at Prairie Avenue,"Painting of a red three-story house with two chimneys, dark-skinned women and small children looking out of its many windows and playing hoops in the front yard.",1950.0,1960.0,c. 1955,"Irene Clark
American, 1927–1980 (death date unconfirmed)",United States,"36.2 × 33 cm (14 1/4 × 13 in.), without frame",Oil on plywood,Walter M. Campana Memorial Prize Fund,,Irene Clark,oil on board
74,184006,Mills Hall,"A work made of etching, from a steel-faced brass plate, on ivory japanese paper.",1921.0,1921.0,1921,"Roi Partridge
American, 1888-1984",United States,231 × 302 mm (image/plate); 299 × 382 mm (sheet),"Etching, from a steel-faced brass plate, on ivory Japanese paper",Gift of Mr. and Mrs. Anthony R. White,Prints and Drawings,Roy Partridge,etching
